HEALTHFACTORTYPE,SmokingFactor
ACTIVE TOBACCO CESSATION MEDS INPT,CURRENT SMOKER
ADR SMOKING PHARMACOTHERAPY,CURRENT SMOKER
ADVISED OF TOBACCO CESSATION STRATEGIES,CURRENT SMOKER
ADVISED TO REMOVE TOBACCO PROD HOME/WORK,CURRENT SMOKER
AEP3 TOBACCO USER F/U1,CURRENT SMOKER
Age 50+ smoking 19 pack or less/year,UNKNOWN
Age 50+ smoking 20 pack or more/year,UNKNOWN
Age 55-74 smoking 30 pack or above/year,UNKNOWN
AGREED TO SMOKING CESSATION CLASS AT DC,CURRENT SMOKER
AGREES TO DECREASE TOBACCO - INITIAL,CURRENT SMOKER
AH-BPR CONCERN SMOKING,UNKNOWN
AH-BPR SMOKING DEPLOYMENT,UNKNOWN
AH-BPR SMOKING DEPLOYMENT NO,UNKNOWN
AH-BPR SMOKING DEPLOYMENT UNKNOWN,UNKNOWN
AH-BPR SMOKING DEPLOYMENT YES,CURRENT SMOKER
ALREADY ON TOBACCO CESSATION MED,CURRENT SMOKER
AMI TOBACCO CONSULT PENDING,CURRENT SMOKER
ANES PRE TOBACCO,UNKNOWN
ASP RX REQUESTED - TOBRAMYCIN,CURRENT SMOKER
ASSESS TOBACCO USE,UNKNOWN
ATL-AHS SMOKING/TOBACCO RISKS,CURRENT SMOKER
ATTEMPTING TO QUIT TOBACCO,CURRENT SMOKER
ATTENDING SMOKING CESSATION,CURRENT SMOKER
ATTENDS SMOKING/TOB CESS PROGRAM,CURRENT SMOKER
AVG NO CIGARETTES PER DAY,UNKNOWN
AXD-ACTIVATE SMOKING CESSATION,CURRENT SMOKER
AXD-ACTIVATE TOBACCO CESSATION,CURRENT SMOKER
AXD-INACTIVATE TOBACCO CESSATION,CURRENT SMOKER
AXD-REFUSED SMOKING CESSATION,CURRENT SMOKER
B QUIT TOBACCO IN THE LAST 12 MONTHS,FORMER SMOKER
BASILINE CIGARETTE USE,UNKNOWN
BAYER16244 SMOKING STATUS,UNKNOWN
BAYER17530 SMOKING STATUS,UNKNOWN
BH WARD TOBACCO CESSATION GROUP,CURRENT SMOKER
BIR-TOBACCO DISCHARGE,UNKNOWN
BP-CIG/CAFFEINE USE WITHIN 30 MIN NO,unknown
BP-CIG/CAFFEINE USE WITHIN 30 MIN YES,CURRENT SMOKER
BRIEF INTERVENTION PHYSICIAN TOBACCO,UNKNOWN
BRIEF TOBACCO INTERVENTION,UNKNOWN
BU-FORMER TOBACCO 7YRS NO MEDS,FORMER SMOKER
BU-KRAMES SMOKING HANDOUTS,CURRENT SMOKER
BUPROPIAN ORDERED FOR TOB CESSATION,CURRENT SMOKER
BUPROPRION FOR SMOKING CESSATION,CURRENT SMOKER
BU-REFUSED MEDS TOBACCO CESSATION,CURRENT SMOKER
BU-REFUSED TOBACCO CESSATION COUNSELING,CURRENT SMOKER
BU-TOBACCO DIAGNOSIS CODES,UNKNOWN
BU-TOBACCO EDUCATION COMPLETED,CURRENT SMOKER
BU-TOBACCO MEDS PT INTERESTED,CURRENT SMOKER
BU-TOBACCO QUIT 15+YEARS AGO,FORMER SMOKER
BU-TOBACCO USE CODES,UNKNOWN
CARDIO PT SCREEN PAST SMOKING NO,UNKNOWN
CARDIO PT SCREEN PAST SMOKING YES,FORMER SMOKER
CARDIO PT SCREEN SMOKING EVERY DAY,CURRENT SMOKER
CARDIO PT SCREEN SMOKING NOT AT ALL,UNKNOWN
CARDIO PT SCREEN SMOKING SOME DAYS,CURRENT SMOKER
CARDIO PT TEMPLATE CURR SMOKE/TOB EVDAY,CURRENT SMOKER
CARDIO PT TEMPLATE CURR SMOKE/TOB N/A,UNKNOWN
CARDIO PT TEMPLATE CURR SMOKE/TOB SOME,CURRENT SMOKER
CARDIO PT TEMPLATE SMOKE CESSATION,CURRENT SMOKER
CARDIO PT TEMPLATE SMOKED/TOBAC USE NO,UNKNOWN
CARDIO PT TEMPLATE SMOKED/TOBAC USE YES,CURRENT SMOKER
CARDIO PT TEMPLATE SMOKING,UNKNOWN
CARDIO SMOKER,CURRENT SMOKER
CATEGORY: CLC SAFE SMOKING,UNKNOWN
CATEGORY: INPT TOBACCO DISCHARGE,UNKNOWN
CATEGORY: INPT TOBACCO FOLLOW UP,CURRENT SMOKER
CATEGORY: INPT TOBACCO PROVIDER,CURRENT SMOKER
CATEGORY: PHARMACY INPT TOBACCO,UNKNOWN
CCHT DMP TOBACCO CESSATION,CURRENT SMOKER
CCHT ENROLL TOBACCO CESSATION,CURRENT SMOKER
CCHT TOBACCO CESSATION,CURRENT SMOKER
CDM COPD PT GOAL TOBACCO CESS ESTAB,CURRENT SMOKER
