HEALTHFACTORTYPE,SmokingFactor
DAY TOBACCO SCREEN REFUSED,UNKNOWN
DAY TOBACCO USE SCREEN (ACTIVATE),UNKNOWN
DAY TOBACCO USE SCREEN (INACTIVATE),UNKNOWN
DAY TOBACCO USE SCREEN (NOT INDICATED),UNKNOWN
DAY TOBACCO USE SCREEN (REFUSED),UNKNOWN
DC LIFETIME NON-USER OF TOBACCO,NEVER SMOKER
DC LIFETIME NON-USER OF TOBACCO 1,NEVER SMOKER
DECLINE SMOKING CESSATION MEDS,CURRENT SMOKER
DECLINED SMOKING CESSATION REFERRAL,CURRENT SMOKER
DECLINED TOBACCO CESSATION CLINIC,CURRENT SMOKER
DECLINED TOBACCO COUNSELING #1,CURRENT SMOKER
DECLINED TOBACCO RELAPSE COUNSELING #1,CURRENT SMOKER
DECLINES HELP TO QUIT SMOKING,CURRENT SMOKER
DECLINES HELP TO QUIT TOBACCO PRODUCT,CURRENT SMOKER
DECLINES REF TO TOB CESSATION,CURRENT SMOKER
DECLINES SMOKING CESSATION,CURRENT SMOKER
DECLINES SMOKING CESSATION REFERRAL,CURRENT SMOKER
DECLINES SMOKING CONSULT,CURRENT SMOKER
DECLINES TO ANSWER TOBACCO PRODUCT USE,UNKNOWN
DECLINES TO DECREASE TOBACCO - INITIAL,CURRENT SMOKER
DECLINES TOB. USE CESSATION MED,CURRENT SMOKER
DECLINES TOBACCO CESSATION MEDICATION,CURRENT SMOKER
DECLINES TOBACCO USE ED,CURRENT SMOKER
DECLINES VA TOBACCO CESSATION PROGRAM,CURRENT SMOKER
DELAY TOBACCO,unknown
DELETED-TOBACCO3,unknown
DELETED-TOBACCO4,unknown
DELETED-TOBACCO5,UNKNOWN
DELETED-TOBACCO6,unknown
DELETED-TOBACCO7,unknown
DEN CIGAR SMOKER,UNKNOWN
DEN CIGARETTES,UNKNOWN
DEN SMOKELESS,UNKNOWN
DENIAL OF TOBACCO USE,UNKNOWN
DENIED MEDS TOBACCO USE INPATIENT,CURRENT SMOKER
DISC TOB PROVIDER NRT OPT,CURRENT SMOKER
DISCHARGE FOLLOW UP TOBACCO,UNKNOWN
DISCHARGE NO DX OF TOBACCO,UNKNOWN
Discharge Tobacco,UNKNOWN
Discharge tobacco Counseling 1,CURRENT SMOKER
DISCHARGE TOBACCO DONE,UNKNOWN
DISTMAN CHEWING TOBACCO,UNKNOWN
DISTMAN TOBACCO CIGARETTES,UNKNOWN
DISTMAN TOBACCO CIGARS,UNKNOWN
DISTMAN TOBACCO E-CIGARETTES,UNKNOWN
DISTMAN TOBACCO EVERY DAY,UNKNOWN
DISTMAN TOBACCO NEVER,NEVER SMOKER
DISTMAN TOBACCO SOME DAYS,CURRENT SMOKER
DM LIFETIME NON-USER OF TOBACCO,NEVER SMOKER
DO NON SMOKER,UNKNOWN
DO TOBACCO COUNSELING,CURRENT SMOKER
DO YOU SMOKE,unknown
Documented NON-tobacco user,UNKNOWN
Documented tobacco user,CURRENT SMOKER
DSM-5 Tobacco Use Disorder,CURRENT SMOKER
DUR LIFETIME NON-USER OF TOBACCO,NEVER SMOKER
E-CIGARETTE USE NO,UNKNOWN
E-CIGARETTE USE YES,UNKNOWN
E-CIGARETTE USER,UNKNOWN
E-CIGARETTES (Avg puffs per day),UNKNOWN
ECOE TOBACCO,UNKNOWN
ED HARMFUL EFFECTS OF TOBACCO,CURRENT SMOKER
ED TOB QUIT NOW INFO GIVEN,CURRENT SMOKER
ED V9 SMOKING CESSATION,CURRENT SMOKER
EH NRT SMOKE HIGH DEPENDENT,CURRENT SMOKER
EH NRT SMOKE MINIMALLY DEPENDENT,CURRENT SMOKER
EH NRT SMOKE MODERATELY DEPENDENT,CURRENT SMOKER
EH Tobacco Dependency Rating,UNKNOWN
EK-NON TOBACCO USE PAST 12 MO,UNKNOWN
EK-TOBACCO USE PAST 12 MO,UNKNOWN
EMPL HLTH SMOKER NO,UNKNOWN
EMPL HLTH SMOKER YES,CURRENT SMOKER
ENROLLED IN SMOKING CESSATION (538),CURRENT SMOKER
EST TX TOBACCO CESS,CURRENT SMOKER
ETOH/TOB/DEPRESSION DOC.,unknown
EVIDENCE OF SMOKING/MATERIAL IN HOME,CURRENT SMOKER
EX-SMOKER,FORMER SMOKER
EXTOBACCO USER,FORMER SMOKER
EX-TOBACCO USER,FORMER SMOKER
EX-TOBACCO USER < 12 MONTHS,FORMER SMOKER
EX-TOBACCO USER > 7Y,FORMER SMOKER
EX-TOBACCO USER >12 MONTHS BUT <7YR,FORMER SMOKER
EX-TOBACCO USER >15Y,FORMER SMOKER
EX-TOBACCO USER >7Y BUT <15Y,FORMER SMOKER
F/U INPT TOBACCO - OUTPT QUESTIONS,UNKNOWN
F/U INPT TOBACCO - REFUSES,CURRENT SMOKER
FALL RISK SMOKER,CURRENT SMOKER
FIRST TOBACCO COUNSELING,CURRENT SMOKER
FORMER SMOKELESS < 1 YR,UNKNOWN
FORMER SMOKELESS > 1 YR,UNKNOWN
FORMER SMOKELESS TOBACCO USER,UNKNOWN
FORMER SMOKER - <100 LIFETIME CIGARETTES,NEVER SMOKER
FORMER SMOKER - NONE FOR >1 YEAR,FORMER SMOKER
FORMER SMOKER - NONE FOR >7 YEARS,FORMER SMOKER
FORMER SMOKER - QUIT IN PAST 1 YEAR,FORMER SMOKER
FORMER SMOKER (QUIT OVER 7 YRS AGO),FORMER SMOKER
FORMER SMOKER (QUIT WITHIN PAST 7 YRS),FORMER SMOKER
FORMER SMOKER < 1 YR,FORMER SMOKER
FORMER SMOKER > 1 YR,FORMER SMOKER
FORMER SMOKER QUIT < 12 MONTHS AGO,FORMER SMOKER
FORMER SMOKER QUIT > 12 MONTH AGO,FORMER SMOKER
FORMER SMOKER QUIT WITHIN PAST 13 MONTHS,FORMER SMOKER
"FORMER SMOKER, LNET",FORMER SMOKER
"FORMER SMOKER, NEUROSURG",FORMER SMOKER
"FORMER SMOKER, PULMONARY",FORMER SMOKER
"Former Smoker, Quit < 7 yrs. ago",FORMER SMOKER
"Former Smoker, Quit > 7 yrs. ago",FORMER SMOKER
FORMER SMOKER-NONE>1YR-VOLPP,FORMER SMOKER
FORMER SMOKER-NONE>7YR--VOLPP,FORMER SMOKER
FORMER SMOKER-QUIT IN PAST YEAR--VOLPP,FORMER SMOKER
FORMER TOB USER QUIT >12M,FORMER SMOKER
FORMER TOB USER: QUIT<7 YRS AGO FY09,FORMER SMOKER
FORMER TOBACCO - NONE>7YR--VOLPP,FORMER SMOKER
FORMER TOBACCO <7 YEARS,FORMER SMOKER
FORMER TOBACCO >7 YEARS,FORMER SMOKER
FORMER TOBACCO PRODUCT USER,FORMER SMOKER
FORMER TOBACCO USE <1Y,FORMER SMOKER
FORMER TOBACCO USE >1Y,FORMER SMOKER
FORMER TOBACCO USE >1Y <7Y,FORMER SMOKER
FORMER TOBACCO USER,FORMER SMOKER
FORMER TOBACCO USER - NONE FOR >7 YEARS,FORMER SMOKER
FORMER TOBACCO USER < 1 YEAR,FORMER SMOKER
FORMER TOBACCO USER > 1 YEAR,FORMER SMOKER
FORMER TOBACCO USER >12 MONTHS,FORMER SMOKER
FORMER TOBACCO USER 7Y OR GREATER,FORMER SMOKER
FORMER TOBACCO USER QUIT > 7 YEARS AGO,FORMER SMOKER
FORMER TOBACCO USER QUIT<7 YRS AGO CLE,FORMER SMOKER
FORMER TOBACCO USER(CHEWER),UNKNOWN
"FORMER TOBACCO USER,LAST USED < 1YR AGO",FORMER SMOKER
"FORMER TOBACCO USER,LAST USED > 1YR AGO",FORMER SMOKER
Former tobacco user: <7Y but >12M,FORMER SMOKER
FORMER TOBACCO USER: QUIT >7 FY07,FORMER SMOKER
FORMER TOBACCO USER: QUIT >7 YEARS AGO,FORMER SMOKER
FORMER TOBACCO USER: QUIT<7 YEARS AGO,FORMER SMOKER
FORMER TOBACCO USER:QUIT<7Y,FORMER SMOKER
FORMER TOBACCO USER:QUIT>7Y,FORMER SMOKER
FORMER TOBACCO USER-GU,FORMER SMOKER
FORMER TOBACCO USER-NONE FOR >7Y,FORMER SMOKER
FRESNO CURRENT TOBACCO USER,CURRENT SMOKER
FRESNO TOBACCO USER STATUS,UNKNOWN
GHL PROGRAM: PERSONAL TOBACCO PLAN,CURRENT SMOKER
GHL PROGRAM: TOBACCO CESSATION,CURRENT SMOKER
GHL TARGET: BE TOBACCO FREE,CURRENT SMOKER
GJ-INPT SUBS ABUSE POS SCREEN TOB,CURRENT SMOKER
GJ-INPT SUBS ABUSE TOB REFERRAL,CURRENT SMOKER
GJ-INPT SUBS ABUSE TOB REFUSED,CURRENT SMOKER
GMDFU IS A TOBACCO USER,CURRENT SMOKER
GMDFU PD TOBACCO CESS COUNS ATTEND,CURRENT SMOKER
GMDFU PD TOBACCO CESS COUNS INTERESTED,CURRENT SMOKER
GMDFU PD TOBACCO CESS COUNS NO INTEREST,CURRENT SMOKER
GMDFU PD TOBACCO CESS COUNS NOT ATTEND,CURRENT SMOKER
GMDFU PD TOBACCO CESS COUNS REFUSED INFO,CURRENT SMOKER
GMDFU PD TOBACCO CESS MEDS NOT TAKING,CURRENT SMOKER
GMDFU PD TOBACCO CESS MEDS REFUSED INFO,CURRENT SMOKER
GMDFU PD TOBACCO CESS MEDS TAKING,CURRENT SMOKER
GMDFU PD TOBACCO STATUS NOT QUIT,CURRENT SMOKER
GMDFU PD TOBACCO STATUS QUIT,FORMER SMOKER
GMDFU PD TOBACCO STATUS REFUSED INFO,UNKNOWN
GMDN IS A SMOKER,CURRENT SMOKER
GMDN IS A TOBACCO USER,CURRENT SMOKER
GMDN IS NOT A TOBACCO USER,UNKNOWN
GMDN REFERRED TO TOBACCO COUNSELING,CURRENT SMOKER
GMDN REFUSED TOBACCO COUNSELING,CURRENT SMOKER
GMDN TOB CESSATION MED ALLERGY TO ALL,CURRENT SMOKER
GMDN TOB CESSATION MED DRUG INTERACTION,CURRENT SMOKER
GMDN TOB CESSATION MED OTHER REASON,CURRENT SMOKER
GMDN TOB CESSATION MEDS NOT PRESCRIBED,CURRENT SMOKER
GMDN TOB CESSATION MEDS PRESCRIBED,CURRENT SMOKER
GMDN TOBACCO CESSATION MEDS REFUSED,CURRENT SMOKER
GNDN NOT A SMOKER,UNKNOWN
GO Does not smoke (CIR),unknown
GO Does not smoke (ITI),unknown
GOAL BE TOBACCO FREE,UNKNOWN
GOAL: BE TOBACCO FREE,CURRENT SMOKER
GOAL-BE TOBACCO FREE,unknown
GUIDELINES NOT MET (TOBACCO),UNKNOWN
H&P DECLINED TOBACCO COUNSELING,CURRENT SMOKER
H&P DECLINED TOBACCO MEDS,CURRENT SMOKER
H&P DECLINED TOBACCO OUTPT COUNSELING,CURRENT SMOKER
H&P MH TOBACCO DISCUSSION INAPPROPRIATE,UNKNOWN
H&P TOBACCO USER-NO,UNKNOWN
H&P TOBACCO USER-YES,CURRENT SMOKER
H/O SMOKELESS TOBACCO USE,UNKNOWN
H/O SMOKING,unknown
H/O TOBACCO USE,unknown
"HABIT TOBACCO, MID",UNKNOWN
HANDOUT-BENEFITS OF STOPPING SMOKING,CURRENT SMOKER
HANDOUT-CAN'T QUIT SMOKING?,CURRENT SMOKER
HANDOUT-HOW HAND NON-SMOKING STRESS?,unknown
HANDOUT-HOW QUIT SMOKING?,CURRENT SMOKER
HANDOUT-RT HOME O2 SMOKING CESSATION,CURRENT SMOKER
HANDOUT-SMOKING AND HEART DISEASE,CURRENT SMOKER
HANDOUT-SMOKING RELAXATION EXERCISES,CURRENT SMOKER
HANDOUT-SMOKING/TOBACCO/HEALTH,CURRENT SMOKER
HANDOUT-THE EFFECTS OF SMOKING,CURRENT SMOKER
HANDOUT-THE SMOKE AROUND YOU,CURRENT SMOKER
HANDOUT-TIP SHEET (EX-SMOKER TIPS),FORMER SMOKER
HANDOUT-WHEN SMOKERS QUIT,CURRENT SMOKER
HANDOUT-WHY DO YOU SMOKE,CURRENT SMOKER
HARMS OF TOBACCO USE ON DISCHARGE,unknown
HAS NOT USED TOBACCO IN LAST 12 MONTHS,UNKNOWN
HAS NOT USED TOBACCO IN PAST 30 DAYS INP,UNKNOWN
HAS SMOKED IN PAST YEAR,CURRENT SMOKER
HAS USED TOBACCO IN LAST 12 MONTHS,CURRENT SMOKER
HAZARD ASSESSMENT-DEPENDENT SMOKER,CURRENT SMOKER
HAZARD ASSESSMENT-DOES NOT SMOKE,UNKNOWN
HAZARD ASSESSMENT-INDEPENDENT SMOKER,CURRENT SMOKER
HBPC HAS FUNCTIONING SMOKE DETECTOR-NO,UNKNOWN
HBPC HAS FUNCTIONING SMOKE DETECTOR-YES,UNKNOWN
HBPC HAS SMOKING MATERIALS IN HOME-NO,UNKNOWN
HBPC HAS SMOKING MATERIALS IN HOME-YES,CURRENT SMOKER
HBPC HOME OXYGEN EVID UNSAFE SMOKING-NO,UNKNOWN
HBPC HOME OXYGEN EVID UNSAFE SMOKING-YES,CURRENT SMOKER
HEAVINESS OF SMOKING INDEX,UNKNOWN
HEAVINESS OF SMOKING SCORE,UNKNOWN
HEAVY SMOKER (>3 PK/DAY),CURRENT SMOKER
HEAVY TOBACCO USE INPATIENT,CURRENT SMOKER
HF CURRENT NON-TOBACCO USER <1 YR,FORMER SMOKER
HF CURRENT SMOKELESS TOBACCO USER,UNKNOWN
HF E CIGARETTE VAPOR PRODUCT USER,UNKNOWN
HF FORM. TOBACCO USER QUIT > 7 YRS AGO,FORMER SMOKER
HF INPT TOBACCO COUNSELING NO,CURRENT SMOKER
HF INPT TOBACCO COUNSELING YES,CURRENT SMOKER
HF LIFETIME TOB BAY PINES,UNKNOWN
HF LIFTIME TOB BP,UNKNOWN
HF MH TOB PROVIDER NRT OTHER,CURRENT SMOKER
HF OUTSIDE TOB BP,UNKNOWN
HF PCC NOTE - CURRENT SMOKER,CURRENT SMOKER
HF PCC NOTE - HX OF SMOKING,UNKNOWN
HF PCC NOTE - NEVER SMOKED,NEVER SMOKER
HF PCC NOTE - SMOKELESS TOBACCO,UNKNOWN
HF PCC NOTE - SMOKING PACKS PER DAY,UNKNOWN
HF PCC NOTE - TOBACCO USE,UNKNOWN
HF PREV TOB BAY PINE,FORMER SMOKER
HF PREV TOB BP,FORMER SMOKER
HF QUIT SMOKING,FORMER SMOKER
HF REFUSED TOBACCO BAY PINES,CURRENT SMOKER
HF SECOND TOBACCO COUNSEL,CURRENT SMOKER
HF THIRD TOBACCO COUNSEL,CURRENT SMOKER
HF TOB FORMER TOBACCO USER,FORMER SMOKER
HF TOB REFUSED BP,UNKNOWN
HF TOB REFUSED COUNSELING,CURRENT SMOKER
HF TOB REFUSED MED,CURRENT SMOKER
HF TOBACCO,UNKNOWN
HF TOBACCO CESSATION <12 MONTHS,FORMER SMOKER
HF TOBACCO CESSATION <12 MONTHS INPT,FORMER SMOKER
HF TOBACCO CESSATION PROGRAM ENROLLMENT,CURRENT SMOKER
HF TOBACCO MEDS OFFERED BY PROVIDER,CURRENT SMOKER
HF TOBACCO SAFETY IP ASK FAMILY/FRIENDS,UNKNOWN
HF TOBACCO SAFETY IP REVIEWED POLICY,UNKNOWN
HF TOBACCO USE SAFETY IP ASSESSED SAFE,UNKNOWN
HF TOBACCO USE SAFETY IP DOESNT SMOKE,UNKNOWN
HF TOBACCO USE SAFETY IP INTERVENT,UNKNOWN
HF TOBACCO USE SCREEN DONE,UNKNOWN
HF UNABLE TO RESPOND TO TOBACCO SCRN,unknown
HF V9 1ST TOBACCO COUNSEL,CURRENT SMOKER
HF V9 CURRENT N0N-SMOKER,unknown
HF V9 CURRENT NON-SMOKER,UNKNOWN
HF V9 CURRENT SMOKELESS TOBACCO,UNKNOWN
HF V9 CURRENT SMOKELESS TOBACCO INPT,UNKNOWN
HF V9 CURRENT SMOKELESS TOBACCO USER,UNKNOWN
HF V9 CURRENT SMOKER,CURRENT SMOKER
HF V9 CURRENT SMOKER INPT,CURRENT SMOKER
HF V9 HISTORY OF SMOKING,UNKNOWN
HF V9 HX OF CHEWING TOBACC0,UNKNOWN
HF V9 HX OF CHEWING TOBACCO,UNKNOWN
HF V9 HX OF SEC SMOKE INHALATION,UNKNOWN
HF V9 HX OF SEC. SMOKE INHALATION,UNKNOWN
HF V9 HX OF SMOKING,UNKNOWN
HF V9 INACT TOBACCO USE REMINDER,unknown
HF V9 INACTIVATE TOBACCO USE SCREEN,unknown
HF V9 LIFETIME N0N-TOBACCO USER,NEVER SMOKER
HF V9 LIFETIME NON-SMOKER,NEVER SMOKER
HF V9 LIFETIME NON-TOBACCO USE,NEVER SMOKER
HF V9 LIFETIME NON-TOBACCO USER,NEVER SMOKER
HF V9 NO SMOKING TOBACCO <12 MONTHS,UNKNOWN
HF V9 NO SMOKING TOBACCO > 7 YEARS,UNKNOWN
HF V9 NO SMOKING TOBACCO 12 MO TO 7 YRS,unknown
HF V9 QUIT SMOKING,FORMER SMOKER
HF V9 QUIT SMOKING < 1YR,FORMER SMOKER
HF V9 QUIT SMOKING > 1YR,FORMER SMOKER
HF V9 QUIT SMOKING COUNSELING,CURRENT SMOKER
HF V9 QUIT SMOKING MEDICATION,CURRENT SMOKER
HF V9 QUIT SMOKING STRATEGIES,CURRENT SMOKER
HF V9 SECOND TOBACCO COUNSEL,CURRENT SMOKER
HF V9 SMOKELESS TOBACCO USER,UNKNOWN
HF V9 SMOKING CESSATION,CURRENT SMOKER
HF V9 THIRD TOBACCO COUNSEL,CURRENT SMOKER
HF V9 TOBACCO,UNKNOWN
HF V9 TOBACCO CURRENT NON-SMOKER,UNKNOWN
HF V9 TOBACCO CURRENT SMOKELESS TOBACCO,UNKNOWN
HF V9 TOBACCO CURRENT SMOKER,CURRENT SMOKER
HF V9 TOBACCO DELAY COUNSEL 2ND,CURRENT SMOKER
HF V9 TOBACCO EDUCATION 2ND TRY CATEGORY,UNKNOWN
HF V9 TOBACCO HX OF CHEWING,UNKNOWN
HF V9 TOBACCO HX OF SEC HAND SMOKE,UNKNOWN
HF V9 TOBACCO HX OF SMOKING,UNKNOWN
HF V9 TOBACCO INPT D/C DONE,UNKNOWN
HF V9 TOBACCO LIFETIME NON-SMOKER,NEVER SMOKER
HF V9 TOBACCO LIFETIME NON-TOBACCO USE,NEVER SMOKER
HF V9 TOBACCO QUIT SMOKING,FORMER SMOKER
HF V9 TOBACCO SECOND TOBACCO COUNSEL,CURRENT SMOKER
HF V9 TOBACCO SMOKELESS USER,UNKNOWN
HF V9 TOBACCO USE INACTIVATE,unknown
HF V9 TOBACCO USE SCREENING,UNKNOWN
HF.NO TOBACCO < 12M,FORMER SMOKER
HF.QUIT TOBACCO >12 MO & <7 YRS AGO,FORMER SMOKER
HF.TOBACCO CESSATION PROVIDER,CURRENT SMOKER
HF.TOBACCO COUNSELING REFUSED,CURRENT SMOKER
HF.TOBACCO F/U BY PCP REQUIRED,UNKNOWN
HF.TOBACCO QUIT DURING PAST 12 MOS,FORMER SMOKER
HF-TOBACCO POLICY REVIEWED,UNKNOWN
HF-TOBACCO POLICY REVIEWED FAMILY,UNKNOWN
HFZ CURRENT TOBACCO USER,CURRENT SMOKER
HFZ DECLINED #1 TOB CESSATION COUNSELING,CURRENT SMOKER
HFZ Declined #1 TOB Counseling,CURRENT SMOKER
HFZ DECLINED #2 TOB CESSATION COUNSELING,CURRENT SMOKER
HFZ Declined #2 TOB Counseling,CURRENT SMOKER
HFZ DECLINED #3 TOB CESSATION COUNSELING,CURRENT SMOKER
HFZ Declined #3 TOB Counseling,CURRENT SMOKER
HFZ FORMER TOBACCO USER: QUIT <7 YRS AGO,FORMER SMOKER
HFZ Former tobacco user:quit<7yrs ago,FORMER SMOKER
HFZ NON-TOBACCO USE > 7YR,UNKNOWN
HFZ NON-TOBACCO USE >1YR BUT <7YR,UNKNOWN
HFZ NON-TOBACCO USER <1YR,UNKNOWN
HFZ NON-TOBACCO USER LIFETIME,NEVER SMOKER
HFZ RESOLVE TOB COUNS#1 FOR 24 HOURS,CURRENT SMOKER
HFZ RESOLVE TOB COUNS#2 FOR 24 HOURS,unknown
HFZ RESOLVE TOB COUNS#3 FOR 24 HOURS,unknown
HFZ TOBACCO 2ND COUNSELING,CURRENT SMOKER
HFZ TOBACCO 3RD COUNSELING,CURRENT SMOKER
HFZ TOBACCO CESSATIO,UNKNOWN
HFZ TOBACCO CESSATION 2007,UNKNOWN
HFZ TOBACCO DELAY COUNSEL,CURRENT SMOKER
HFZ TOBACCO DOES NOT USE,unknown
HFZ TOBACCO DOES USE,CURRENT SMOKER
HFZ TOBACCO USE RESUMED,CURRENT SMOKER
HFZ TOBACCO1 COUNSELING CONTRAINDICATED,UNKNOWN
HFZ TOBACCO2 COUNSELING CONTRAINDICATED,UNKNOWN
HFZ TOBACCO3 COUNSELING CONTRAINDICATED,UNKNOWN
HFZ-TOBACCO1 COUNSELING CONTRAINDICATED,UNKNOWN
HFZ-TOBACCO2 COUNSELING CONTRAINDICATED,UNKNOWN
HFZ-TOBACCO3 COUNSELING CONTRAINDICATED,UNKNOWN
HIGH RISK SMOKE AND O2,CURRENT SMOKER
HIGH RISK SMOKER,CURRENT SMOKER
HISTORY OF CHEWING TOBACCO,UNKNOWN
HISTORY OF NON-SMOKING >1YR,FORMER SMOKER
HISTORY OF SMOKE INHALATION,UNKNOWN
HISTORY OF SMOKELESS TOBACCO USE,UNKNOWN
HISTORY OF SMOKING,unknown
HISTORY OF SMOKING AAA,UNKNOWN
HISTORY OF SMOKING-AAA,UNKNOWN
HISTORY OF TOBACCO USE,unknown
history of TOBACCO USE >1yr ago,UNKNOWN
History TOBACCO USE >1yr <7yrs ago,UNKNOWN
HLM BE TOBACCO FREE,UNKNOWN
HO2 NO NO SMOKING SIGN,UNKNOWN
HO2 NO SMOKE DETECTORS,UNKNOWN
HO2 YES NO SMOKING SIGN,UNKNOWN
HO2 YES SMOKE DETECTORS,UNKNOWN
HOME 02 AGREE TO REFRAIN SMOKING,unknown
HOME O2 NO SMOKING AGREEMENT,UNKNOWN
HOME O2 PT SMOKES? NO,UNKNOWN
HOME O2 PT SMOKES? YES,CURRENT SMOKER
HOME O2 SMOKING CAT,UNKNOWN
HOME O2-FUNC SMOKE DETECTOR,UNKNOWN
HOME O2-HOUSEHOLD DOES NOT SMOKE,UNKNOWN
HOME O2-HOUSEHOLD SMOKES,UNKNOWN
HOME O2-NO SMOKE SIGN ABSENT,UNKNOWN
HOME O2-NO SMOKE SIGN PRESENT,UNKNOWN
HOME O2-NO SMOKING EVIDENCE,UNKNOWN
HOME O2-NON FUNC SMOKE DETECTOR,UNKNOWN
HOME O2-PT DOES NOT SMOKE,UNKNOWN
HOME O2-PT SMOKES,CURRENT SMOKER
HOME O2-SMOKING EVIDENCE,CURRENT SMOKER
HOME OXYGEN-NO SMOKE/OPEN FLAME AT HOME,UNKNOWN
HOME RESP CARE SMOKING NO,UNKNOWN
HOME RESP CARE SMOKING YES,CURRENT SMOKER
HOME SMOKING MATERIALS - NO,UNKNOWN
HOME SMOKING MATERIALS - YES,CURRENT SMOKER
HOT NON-SMOKER,unknown
HOUSTON TOBACCO FACTORS,UNKNOWN
hpdp tobacco,UNKNOWN
HT DMP TOBACCO CESSATION,CURRENT SMOKER
HT DMP VHA TOBACCO CESSATION,CURRENT SMOKER
HX < 100 CIGARETTES IN LIFE,NEVER SMOKER
HX > 100 CIGARETTES IN LIFE,unknown
HX CHEW TOBACCO,UNKNOWN
HX CHEW TOBACCO PAST YR,UNKNOWN
HX NON-SMOKER,UNKNOWN
HX OF CHEWING TOBACCO,UNKNOWN
HX OF CHEWING TOBACCO T,UNKNOWN
HX OF CHEWING TOBACCO T*,UNKNOWN
HX OF SEC SMOKE INHALATION,UNKNOWN
HX OF SEC. SMOKE INHALATIION,UNKNOWN
HX OF SEC. SMOKE INHALATION,UNKNOWN
HX OF SEC. SMOKE INHALATION T,UNKNOWN
HX OF SEC. SMOKE INHALATION T*,UNKNOWN
HX OF SMOKELESS TOBACCO,UNKNOWN
HX OF SMOKING,unknown
HX OF SMOKING T,UNKNOWN
"HX OF SMOKING, MID",UNKNOWN
HX OF SMOKING: 0-14 PACK YEARS,UNKNOWN
HX OF SMOKING: 15-29 PACK YEARS,UNKNOWN
HX OF SMOKING: 30 OR MORE PACK YEARS,UNKNOWN
HX OF TOBACCO USE,UNKNOWN
HX OF TOBACCO USE (QUIT DATE),UNKNOWN
HX SECOND HAND SMOKE,UNKNOWN
HX SMOKING,unknown
HX SMOKING PAST YR,UNKNOWN
HX TOBACCO USE,UNKNOWN
HX<7 PACK YEARS SMOKING,UNKNOWN
HX>7 PACK YEARS SMOKING,UNKNOWN
I)CURRENT SMOKER,CURRENT SMOKER
IC CORE SESS 5 RESPOND SMOKING LAPSE,unknown
IC/CARDIAC CURRENT SMOKER BEGIN FAC,CURRENT SMOKER
IC/CARDIAC CURRENT SMOKER END FAC,CURRENT SMOKER
IC/CARDIAC QUIT SMOKE <6MO BEGIN FAC,FORMER SMOKER
IC/CARDIAC QUIT SMOKE <6MO END FAC,FORMER SMOKER
IC/CARDIAC QUIT SMOKE >6MO BEGIN FAC,FORMER SMOKER
IC/CARDIAC QUIT SMOKE >6MO END FAC,FORMER SMOKER
IC/CARDIAC SMOKE USE BEGIN CAT,CURRENT SMOKER
IC/CARDIAC SMOKE USE END CAT,UNKNOWN
IC/CARDIAC SMOKING STATUS CURRENT FAC,CURRENT SMOKER
IC/CARDIAC SMOKING STATUS NEVER FAC,NEVER SMOKER
IC/CARDIAC SMOKING STATUS QUIT<6 MONTHS,FORMER SMOKER
IC/CARDIAC SMOKING STATUS QUIT>6 MONTHS,FORMER SMOKER
IC/INPT SMOKING RISK SCREEN,UNKNOWN
IC/PATIENT DOES NOT WANT TO QUIT SMOKING,CURRENT SMOKER
IC/PATIENT IS NONSMOKER,unknown
IC/PATIENT IS SMOKER,CURRENT SMOKER
IC/PATIENT WANTS HELP TO QUIT SMOKING,CURRENT SMOKER
IC/SMOKE TEST PERFORMED CAT,UNKNOWN
IC/SMOKE TEST PERFORMED FAC,CURRENT SMOKER
ICF INPT TOB SCREEN NOT DONE,unknown
ICF NDB TOB WITHIN YR,unknown
ICM 10 TOBACCO @ DC,UNKNOWN
ICM 15 TOBACCO MEDS,CURRENT SMOKER
ICM 17 TOBACCO MEDS ORDERED,CURRENT SMOKER
ICM 19 TOBACCO MEDS REFUSED,CURRENT SMOKER
ICM 25 TOBACCO COUNSELING,CURRENT SMOKER
ICM 27 TOBACCO COUNSEL ORDERED,CURRENT SMOKER
ICM 28 TOBACCO COUNSEL REFUSED,CURRENT SMOKER
I-CURRENT SMOKER,CURRENT SMOKER
IMP GAS/INTER/SMOKING,UNKNOWN
IN LAST YEAR QUIT TOBACCO USE,FORMER SMOKER
IN NON-VA TOBACCO CESSATION PROGRAM,CURRENT SMOKER
INACTIVATE SMOKING CESSATION MEDS NEEDED,UNKNOWN
INACTIVATE TOB CESSATION MEDS,UNKNOWN
INACTIVATE TOB USE CESS COUNS (3 MONTHS),UNKNOWN
INACTIVATE TOB USE CESS COUNS (6 MONTHS),UNKNOWN
INACTIVATE TOB USE CESS COUNS(10 MONTHS),UNKNOWN
INACTIVATE TOBACCO #2,UNKNOWN
INACTIVATE TOBACCO #3,UNKNOWN
INACTIVATE TOBACCO CESSATION REMINDER,UNKNOWN
INACTIVATE TOBACCO COUNSELING X 1YR,UNKNOWN
INACTIVATE TOBACCO REMINDERS,UNKNOWN
INACTIVATE TOBACCO USE EDUCATION,UNKNOWN
INACTIVATE TOBACCO USE SCREEN,UNKNOWN
INCORRECT DIAGNOSIS OF SMOKER,CURRENT SMOKER
INPATIENT CURRENT SMOKER,CURRENT SMOKER
INPATIENT CURRENT TOBACCO SMOKELESS USER,UNKNOWN
INPATIENT CURRENT TOBACCO USER,CURRENT SMOKER
