domain,marker_name,LabChemTestName,lower,upper,source,n_records,n_patients,n_cohort,prop_patients,feature_name,feature_subcategory,code,code_vocabulary,Description,drug_name,VAClassification,percent_of_patients,VAClassification_Description,VAClass
Medications,"","","","","",539,327,735933,0.000444333927137389,AnyDrug,"","","","",TRYPAN BLUE,OP900,0.0444333927137389,"OPHTHALMICS,OTHER","OP900-OPHTHALMICS,OTHER"
Medications,"","","","","",539,322,735933,0.000437539830392169,AnyDrug,"","","","",ZZ-CEFOXITIN,"",0.0437539830392169,"",
Medications,"","","","","",537,383,735933,0.000520427810683853,AnyDrug,"","","","",BUPROPION ADV,CN609,0.0520427810683853,"ANTIDEPRESSANTS,OTHER","CN609-ANTIDEPRESSANTS,OTHER"
Medications,"","","","","",536,372,735933,0.000505480797844369,AnyDrug,"","","","",CHARCOAL,AD900,0.0505480797844369,"ANTIDOTES/DETERRENTS,OTHER","AD900-ANTIDOTES/DETERRENTS,OTHER"
Medications,"","","","","",536,491,735933,0.000667180300380605,AnyDrug,"","","","","RABIES IMMUNE GLOBULIN,HUMAN",IM500,0.0667180300380605,IMMUNOGLOBULINS,IM500-IMMUNOGLOBULINS
Medications,"","","","","",535,451,735933,0.000612827526418845,AnyDrug,"","","","",COLONOSCOPY WITH ENEMAS,RS300,0.0612827526418845,"LAXATIVES,RECTAL","RS300-LAXATIVES,RECTAL"
Medications,"","","","","",535,118,735933,0.000160340683187192,AnyDrug,"","","","",CPD MILES MAGIC MIXTURE,NT900,0.0160340683187192,"NASAL AND THROAT,TOPICAL,OTHER","NT900-NASAL AND THROAT,TOPICAL,OTHER"
Medications,"","","","","",534,164,735933,0.000222846373243216,AnyDrug,"","","","",ONDANSTRON,"",0.0222846373243216,"",
Medications,"","","","","",533,132,735933,0.000179364154073808,AnyDrug,"","","","",DIPHENHYDRAMINE IR LIDOC VISC MIX,OR500,0.0179364154073808,MOUTHWASHES,OR500-MOUTHWASHES
Medications,"","","","","",532,238,735933,0.000323399005072473,AnyDrug,"","","","",CIMETIDINE INJ,"",0.0323399005072473,"",
Medications,"","","","","",532,369,735933,0.000501404339797237,AnyDrug,"","","","",PILL BOX DAY LARGE,XX000,0.0501404339797237,MISCELLANEOUS AGENTS,XX000-MISCELLANEOUS AGENTS
Medications,"","","","","",529,248,735933,0.000336987198562913,AnyDrug,"","","","",POTASSIUM CHLORIDE CONC INJ IV,"",0.0336987198562913,"",
Medications,"","","","","",528,121,735933,0.000164417141234324,AnyDrug,"","","","",CALCIUM CO VIT IU,VT802,0.0164417141234324,MULTIVITAMINS WITH MINERALS,VT802-MULTIVITAMINS WITH MINERALS
Medications,"","","","","",526,149,735933,0.000202464083007556,AnyDrug,"","","","",SOD FERRIC GLUC COMPLEX,"",0.0202464083007556,"",
Medications,"","","","","",524,404,735933,0.000548963017013777,AnyDrug,"","","","",CEFAZOLIN IN W,"",0.0548963017013777,"",
Medications,"","","","","",523,290,735933,0.000394057611222761,AnyDrug,"","","","",CPD OR EYE PREP TH,AM250,0.0394057611222761,TETRACYCLINES,AM250-TETRACYCLINES
Medications,"","","","","",523,215,735933,0.000292146160044461,AnyDrug,"","","","",MORPHINE SDV,CN101,0.0292146160044461,OPIOID ANALGESICS,CN101-OPIOID ANALGESICS
Medications,"","","","","",523,143,735933,0.000194311166913292,AnyDrug,"","","","",SODIUM CHLORIDE 0.9%,"",0.0194311166913292,"",
Medications,"","","","","",522,234,735933,0.000317963727676297,AnyDrug,"","","","",DORNASE ALFA,"",0.0317963727676297,"",
Medications,"","","","","",522,107,735933,0.000145393670347708,AnyDrug,"","","","",PALIPERIDONE,"",0.0145393670347708,"",
Medications,"","","","","",522,304,735933,0.000413081082109377,AnyDrug,"","","","",ZCPD LIDOCAINE MAALOX METOCLOPRAMIDE,AU300,0.0413081082109377,PARASYMPATHOMIMETICS (CHOLINERGICS),AU300-PARASYMPATHOMIMETICS (CHOLINERGICS)
Medications,"","","","","",520,417,735933,0.000566627668551349,AnyDrug,"","","","",INFLUENZA VACCINE,IM700,0.0566627668551349,IMMUNE STIMULANTS,IM700-IMMUNE STIMULANTS
Medications,"","","","","",519,173,735933,0.000235075747384613,AnyDrug,"","","","",MAGNESIUM SULFATE RTU,"",0.0235075747384613,"",
Medications,"","","","","",519,234,735933,0.000317963727676297,AnyDrug,"","","","",ONDANSETRON HCL INJ.,"",0.0317963727676297,"",
Medications,"","","","","",518,251,735933,0.000341063656610045,AnyDrug,"","","","",BASILIXIMAB,"",0.0341063656610045,"",
Medications,"","","","","",518,108,735933,0.000146752489696752,AnyDrug,"","","","",HEMORRHOIDAL RTL SUPP,RS201,0.0146752489696752,HEMORRHOIDAL PREPARATIONS WITHOUT STEROID,RS201-HEMORRHOIDAL PREPARATIONS WITHOUT STEROID
Medications,"","","","","",518,119,735933,0.000161699502536236,AnyDrug,"","","","",PROPOXYPHENE ACET,CN101,0.0161699502536236,OPIOID ANALGESICS,CN101-OPIOID ANALGESICS
Medications,"","","","","",517,102,735933,0.000138599573602488,AnyDrug,"","","","",POTASSIUM PARA AMINOBENZOATE,DE890,0.0138599573602488,"DERMATOLOGICALS,SYSTEMIC,OTHER","DE890-DERMATOLOGICALS,SYSTEMIC,OTHER"
Medications,"","","","","",516,135,735933,0.00018344061212094,AnyDrug,"","","","",EYELID EYE SCRUB,OP500,0.018344061212094,EYE WASHES/LUBRICANTS,OP500-EYE WASHES/LUBRICANTS
Medications,"","","","","",516,129,735933,0.000175287696026676,AnyDrug,"","","","",PCA EPIDURAL CHECK,XX000,0.0175287696026676,MISCELLANEOUS AGENTS,XX000-MISCELLANEOUS AGENTS
Medications,"","","","","",514,121,735933,0.000164417141234324,AnyDrug,"","","","",HYDROCORT ZINC OXIDE :,DE200,0.0164417141234324,"ANTI-INFLAMMATORY,TOPICAL","DE200-ANTI-INFLAMMATORY,TOPICAL"
Medications,"","","","","",513,200,735933,0.000271763869808801,AnyDrug,"","","","",FOLIC ACID,"",0.0271763869808801,"",
